STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME.x,LSAD,ALAND,AWATER,NAME.y,variable,estimate,moe,id
34,001,00882270,0500000US34001,34001,Atlantic,06,1438772543,301272800,"Atlantic County, New Jersey",B01003_001,268539,NA,NJ
34,003,00882271,0500000US34003,34003,Bergen,06,602910975,35355101,"Bergen County, New Jersey",B01003_001,929999,NA,NJ
34,005,00882272,0500000US34005,34005,Burlington,06,2070244951,54026208,"Burlington County, New Jersey",B01003_001,446367,NA,NJ
34,007,00882273,0500000US34007,34007,Camden,06,573295201,15719274,"Camden County, New Jersey",B01003_001,507367,NA,NJ
34,009,00882274,0500000US34009,34009,Cape May,06,651402591,955184422,"Cape May County, New Jersey",B01003_001,93705,NA,NJ
34,011,00882275,0500000US34011,34011,Cumberland,06,1251898433,503712952,"Cumberland County, New Jersey",B01003_001,153400,NA,NJ
34,013,00882276,0500000US34013,34013,Essex,06,326557460,8638172,"Essex County, New Jersey",B01003_001,793555,NA,NJ
34,015,00882277,0500000US34015,34015,Gloucester,06,833904538,38332188,"Gloucester County, New Jersey",B01003_001,290852,NA,NJ
34,017,00882278,0500000US34017,34017,Hudson,06,119632168,41967364,"Hudson County, New Jersey",B01003_001,668631,NA,NJ
34,019,00882228,0500000US34019,34019,Hunterdon,06,1108065331,24782521,"Hunterdon County, New Jersey",B01003_001,125051,NA,NJ
34,021,00882229,0500000US34021,34021,Mercer,06,581281416,11451147,"Mercer County, New Jersey",B01003_001,368762,NA,NJ
34,023,00882230,0500000US34023,34023,Middlesex,06,800871212,35459038,"Middlesex County, New Jersey",B01003_001,826698,NA,NJ
34,025,00882910,0500000US34025,34025,Monmouth,06,1212563775,511008987,"Monmouth County, New Jersey",B01003_001,623387,NA,NJ
34,027,00882231,0500000US34027,34027,Morris,06,1192855212,54286849,"Morris County, New Jersey",B01003_001,494383,NA,NJ
34,029,00882279,0500000US34029,34029,Ocean,06,1627449879,741964749,"Ocean County, New Jersey",B01003_001,591939,NA,NJ
34,031,00882232,0500000US34031,34031,Passaic,06,481767290,32057601,"Passaic County, New Jersey",B01003_001,504041,NA,NJ
34,033,00882233,0500000US34033,34033,Salem,06,859473753,105431093,"Salem County, New Jersey",B01003_001,63336,NA,NJ
34,035,00882234,0500000US34035,34035,Somerset,06,781816438,8009058,"Somerset County, New Jersey",B01003_001,330176,NA,NJ
34,037,00882236,0500000US34037,34037,Sussex,06,1343479727,43307978,"Sussex County, New Jersey",B01003_001,142298,NA,NJ
34,039,00882235,0500000US34039,34039,Union,06,266160325,7056624,"Union County, New Jersey",B01003_001,553066,NA,NJ
34,041,00882237,0500000US34041,34041,Warren,06,923422762,15836120,"Warren County, New Jersey",B01003_001,106293,NA,NJ
10,001,00217271,0500000US10001,10001,Kent,06,1517232133,550433497,"Kent County, Delaware",B01003_001,174822,NA,DE
10,003,00217270,0500000US10003,10003,New Castle,06,1104149852,175376290,"New Castle County, Delaware",B01003_001,555133,NA,DE
10,005,00217269,0500000US10005,10005,Sussex,06,2424543661,674175861,"Sussex County, Delaware",B01003_001,219540,NA,DE
24,001,01713506,0500000US24001,24001,Allegany,06,1093457887,14805576,"Allegany County, Maryland",B01003_001,71977,NA,MD
24,003,01710958,0500000US24003,24003,Anne Arundel,06,1074287145,448099595,"Anne Arundel County, Maryland",B01003_001,567696,NA,MD
24,005,01695314,0500000US24005,24005,Baltimore,06,1549739465,215964666,"Baltimore County, Maryland",B01003_001,827625,NA,MD
24,009,01676636,0500000US24009,24009,Calvert,06,552162128,341577085,"Calvert County, Maryland",B01003_001,91082,NA,MD
24,011,00595737,0500000US24011,24011,Caroline,06,827350253,16777065,"Caroline County, Maryland",B01003_001,32875,NA,MD
24,013,01696228,0500000US24013,24013,Carroll,06,1159345029,13120348,"Carroll County, Maryland",B01003_001,167522,NA,MD
