airport_iata,fips_cty,countyname,pop_attribution,pop_airport_catchment,cty_risk
PHL,10001,Kent,159902,16561027,0.009655319081358903
BWI,10001,Kent,14860,5078892,0.002925835004957774
PHL,10003,New Castle,555133,16561027,0.0335204453202087
BWI,10005,Sussex,57566,5078892,0.011334361904131847
PHL,10005,Sussex,161974,16561027,0.009780432095183469
DCA,11001,District of Columbia,684498,3341212,0.2048651806589944
IAD,24001,Allegany,58027,4011427,0.014465425894575671
PIT,24001,Allegany,13950,4061752,0.0034344785205989927
BWI,24003,Anne Arundel,551219,5078892,0.10853134896351409
DCA,24003,Anne Arundel,16477,3341212,0.004931444038869728
BWI,24005,Baltimore,827625,5078892,0.16295384898911022
BWI,24009,Calvert,3876,5078892,7.63158578682122e-4
DCA,24009,Calvert,87206,3341212,0.026100109780522757
BWI,24011,Caroline,32699,5078892,0.006438215264274176
PHL,24011,Caroline,176,16561027,1.0627360247646477e-5
BWI,24013,Carroll,161493,5078892,0.03179689585838801
IAD,24013,Carroll,6029,4011427,0.0015029564292208233
BWI,24015,Cecil,37995,5078892,0.007480962383133959
PHL,24015,Cecil,64522,16561027,0.0038960144198786706
DCA,24017,Charles,157671,3341212,0.04718976227788
BWI,24019,Dorchester,32246,5078892,0.0063490225820907395
DCA,24019,Dorchester,15,3341212,4.489388880442187e-6
BWI,24021,Frederick,12595,5078892,0.00247987159404059
IAD,24021,Frederick,235877,4011427,0.058801269473431776
PIT,24023,Garrett,29376,4061752,0.007232347026603299
BWI,24025,Harford,251025,5078892,0.04942515020992768
BWI,24027,Howard,293959,5078892,0.057878568790200695
DCA,24027,Howard,16039,3341212,0.004800353883560816
IAD,24027,Howard,5329,4011427,0.001328454936360552
BWI,24029,Kent,16819,5078892,0.0033115490544000543
PHL,24029,Kent,2774,16561027,1.6750168935779163e-4
BWI,24031,Montgomery,13247,5078892,0.00260824605051653
DCA,24031,Montgomery,494056,3341212,0.14786730084771635
IAD,24031,Montgomery,532829,4011427,0.13282779419892224
BWI,24033,Prince George's,160345,5078892,0.031570862306188045
DCA,24033,Prince George's,745857,3341212,0.22322947481333122
BWI,24035,Queen Anne's,47346,5078892,0.009322111988205302
PHL,24035,Queen Anne's,2009,16561027,1.2130890191773735e-4
DCA,24037,St. Mary's,111531,3341212,0.03338040208163984
BWI,24039,Somerset,7938,5078892,0.0015629393182607545
ORF,24039,Somerset,17799,1723351,0.010328133966905175
BWI,24041,Talbot,37211,5078892,0.007326598006021786
IAD,24043,Washington,149811,4011427,0.03734606163841446
BWI,24045,Wicomico,92156,5078892,0.018144902470853878
PHL,24045,Wicomico,10016,16561027,6.047934104569723e-4
BWI,24047,Worcester,4436,5078892,8.7341884804796e-4
ORF,24047,Worcester,29011,1723351,0.016834063403218497
PHL,24047,Worcester,18116,16561027,0.0010938935127634295
BWI,24510,Baltimore,614700,5078892,0.1210303349628226
PHL,34001,Atlantic,268539,16561027,0.016215117576947373
PHL,34003,Bergen,929999,16561027,0.056155877289494185
PHL,34005,Burlington,446367,16561027,0.026952857452620542
PHL,34007,Camden,507367,16561027,0.03063620390208892
PHL,34009,Cape May,93705,16561027,0.0056581635909415525
PHL,34011,Cumberland,153400,16561027,0.009262710579482782
PHL,34013,Essex,793555,16561027,0.04791701625750625
PHL,34015,Gloucester,290852,16561027,0.017562437401979963
PHL,34017,Hudson,668631,16561027,0.040373764259909725
PHL,34019,Hunterdon,125051,16561027,0.007550920604138861
PHL,34021,Mercer,368762,16561027,0.022266855793423922
PHL,34023,Middlesex,826698,16561027,0.04991828103414118
PHL,34025,Monmouth,623387,16561027,0.037641808083520426
PHL,34027,Morris,494383,16561027,0.029852194552910275
PHL,34029,Ocean,591939,16561027,0.03574289203199777
PHL,34031,Passaic,504041,16561027,0.030435370946499875
PHL,34033,Salem,63336,16561027,0.0038244005036644165
PHL,34035,Somerset,330176,16561027,0.019936927824584793
PHL,34037,Sussex,142298,16561027,0.008592341525679536
PHL,34039,Union,553066,16561027,0.03339563422002754
PHL,34041,Warren,106293,16561027,0.0064182613795629945
BWI,42001,Adams,69469,5078892,0.013677983308170365
IAD,42001,Adams,32554,4011427,0.008115316569390393
PIT,42003,Allegheny,1225561,4061752,0.30173210969059655
PIT,42005,Armstrong,66331,4061752,0.01633063761647683
PIT,42007,Beaver,166896,4061752,0.041089657861927566
IAD,42009,Bedford,42321,4011427,0.010550110970485067
PIT,42009,Bedford,6290,4061752,0.0015485928239833452
BWI,42011,Berks,92,5078892,1.811418711010197e-5
PHL,42011,Berks,416550,16561027,0.02515242563157466
IAD,42013,Blair,87551,4011427,0.021825400287728034
PIT,42013,Blair,36291,4061752,0.008934814336276563
PHL,42015,Bradford,61304,16561027,0.0037017027989870435
PHL,42017,Bucks,626370,16561027,0.03782192976317229
PIT,42019,Butler,186566,4061752,0.04593239567556069
PIT,42021,Cambria,134550,4061752,0.03312609927932577
PIT,42023,Cameron,4686,4061752,0.0011536893439087368
PHL,42025,Carbon,63931,16561027,0.0038603282272289033
BWI,42027,Centre,33035,5078892,0.006504371425893679
IAD,42027,Centre,120708,4011427,0.030091037428825202
PIT,42027,Centre,7700,4061752,0.0018957336636998025
BWI,42029,Chester,3728,5078892,7.340183646354362e-4
PHL,42029,Chester,513429,16561027,0.03100224400334593
PIT,42031,Clarion,38827,4061752,0.009559175449411978
IAD,42033,Clearfield,1495,4011427,3.726853311801511e-4
PIT,42033,Clearfield,78721,4061752,0.019381045420793785
BWI,42035,Clinton,24286,5078892,0.004781751610390613
IAD,42035,Clinton,11077,4011427,0.0027613614805903236
PIT,42035,Clinton,3711,4061752,9.136451462324632e-4
PHL,42037,Columbia,66220,16561027,0.003998544293176987
PIT,42039,Crawford,86164,4061752,0.021213505895977893
BWI,42041,Cumberland,168513,5078892,0.03317908709222405
IAD,42041,Cumberland,78920,4011427,0.019673796880760885
BWI,42043,Dauphin,274515,5078892,0.05405017472314828
PHL,42045,Delaware,563527,16561027,0.03402729794474703
PIT,42047,Elk,30608,4061752,0.007535664412795267
PIT,42049,Erie,275972,4061752,0.06794407930370934
PIT,42051,Fayette,132289,4061752,0.03256944293989392
PIT,42053,Forest,7351,4061752,0.0018098101508905516
IAD,42055,Franklin,153751,4011427,0.03832825575537085
IAD,42057,Fulton,14506,4011427,0.0036161695077587103
PIT,42059,Greene,37144,4061752,0.009144822234346164
IAD,42061,Huntingdon,45421,4011427,0.011322903296009126
PIT,42063,Indiana,85755,4061752,0.02111281043254241
PIT,42065,Jefferson,44084,4061752,0.010853444523447026
BWI,42067,Juniata,15608,5078892,0.0030731112218964295
IAD,42067,Juniata,8954,4011427,0.0022321233815298146
PHL,42069,Lackawanna,211454,16561027,0.012768169510260444
BWI,42071,Lancaster,312267,5078892,0.06148329202511099
PHL,42071,Lancaster,226080,16561027,0.013651327299931338
PIT,42073,Lawrence,87382,4061752,0.02151337649369041
BWI,42075,Lebanon,107303,5078892,0.021127245863861645
PHL,42075,Lebanon,31370,16561027,0.001894206198685625
PHL,42077,Lehigh,362613,16561027,0.021895562394771775
PHL,42079,Luzerne,317884,16561027,0.019194703323652574
BWI,42081,Lycoming,87985,5078892,0.01732366035741654
PHL,42081,Lycoming,26874,16561027,0.0016227254505412013
PIT,42083,McKean,41806,4061752,0.010292602798004409
PIT,42085,Mercer,112630,4061752,0.027729413317208927
BWI,42087,Mifflin,14324,5078892,0.002820300175707615
IAD,42087,Mifflin,32038,4011427,0.007986684040367679
PHL,42089,Monroe,167586,16561027,0.01011929996853456
PHL,42091,Montgomery,821301,16561027,0.04959239544745625
BWI,42093,Montour,5307,5078892,0.001044912945579469
PHL,42093,Montour,12987,16561027,7.841904973646864e-4
PHL,42095,Northampton,301778,16561027,0.01822217909553556
BWI,42097,Northumberland,73992,5078892,0.014568531876637661
PHL,42097,Northumberland,18333,16561027,0.001106996564886948
BWI,42099,Perry,36083,5078892,0.007104502320584884
IAD,42099,Perry,9841,4011427,0.002453241701768473
PHL,42101,Philadelphia,1575522,16561027,0.09513431745507087
PHL,42103,Pike,55498,16561027,0.0033511206762720696
BWI,42105,Potter,3962,5078892,7.800914057633043e-4
IAD,42105,Potter,290,4011427,7.229347561354102e-5
PIT,42105,Potter,12686,4061752,0.0031232827607397006
BWI,42107,Schuylkill,15046,5078892,0.0029624571658542847
PHL,42107,Schuylkill,128509,16561027,0.007759724079913643
BWI,42109,Snyder,40466,5078892,0.00796748582171072
IAD,42111,Somerset,1025,4011427,2.55520043116826e-4
PIT,42111,Somerset,73924,4061752,0.01820002796822652
PHL,42113,Sullivan,6177,16561027,3.7298411505518346e-4
PHL,42115,Susquehanna,41340,16561027,0.0024962220036233262
BWI,42117,Tioga,32427,5078892,0.006384660276296483
PHL,42117,Tioga,8799,16561027,5.313076296536441e-4
BWI,42119,Union,45114,5078892,0.008882646057447175
PIT,42121,Venango,52376,4061752,0.012894928099992318
PIT,42123,Warren,40035,4061752,0.009856584055353453
PIT,42125,Washington,207547,4061752,0.051097900610377
PHL,42127,Wayne,51536,16561027,0.003111884305242664
PIT,42129,Westmoreland,354751,4061752,0.08733940427677514
PHL,42131,Wyoming,27588,16561027,0.0016658387188185854
BWI,42133,York,444014,5078892,0.08742339864679147
ORF,51001,Accomack,32742,1723351,0.018999031537974564
IAD,51003,Albemarle,27805,4011427,0.006931448584256924
RIC,51003,Albemarle,78550,2946507,0.026658684333687312
PIT,51005,Alleghany,7810,4061752,0.0019228155731812282
RIC,51005,Alleghany,7476,2946507,0.0025372415541520857
RIC,51007,Amelia,12854,2946507,0.0043624535763872275
RIC,51009,Amherst,31882,2946507,0.01082026955985511
RIC,51011,Appomattox,15577,2946507,0.005286598674294682
DCA,51013,Arlington,231803,3341212,0.06937692071020934
IAD,51015,Augusta,56577,4011427,0.014103958516507966
RIC,51015,Augusta,18124,2946507,0.006151012028819208
IAD,51017,Bath,1484,4011427,3.6994316486377543e-4
PIT,51017,Bath,1835,4061752,4.517754899856023e-4
RIC,51017,Bath,1075,2946507,3.6483877350367743e-4
RIC,51019,Bedford,77908,2946507,0.02644079922430186
PIT,51021,Bland,6447,4061752,0.0015872460947886527
RIC,51023,Botetourt,33222,2946507,0.011275045333338764
RIC,51025,Brunswick,16665,2946507,0.005655849451570962
PIT,51027,Buchanan,22138,4061752,0.005450357382725484
RIC,51029,Buckingham,17004,2946507,0.005770900934564215
RIC,51031,Campbell,55170,2946507,0.01872386524111431
DCA,51033,Caroline,1139,3341212,3.4089426232157674e-4
RIC,51033,Caroline,29045,2946507,0.009857434582710987
PIT,51035,Carroll,50,4061752,1.2309958855193523e-5
RIC,51035,Carroll,29688,2946507,0.010075659077002024
RIC,51036,Charles City,6995,2946507,0.0023739974145657893
RIC,51037,Charlotte,12095,2946507,0.004104860433048352
RIC,51041,Chesterfield,339447,2946507,0.11520318804604911
IAD,51043,Clarke,14365,4011427,0.003581019921339713
PIT,51045,Craig,639,4061752,1.5732127416937322e-4
RIC,51045,Craig,4474,2946507,0.0015184080675864676
IAD,51047,Culpeper,50450,4011427,0.012576571878286704
RIC,51049,Cumberland,9786,2946507,0.0033212206860530114
PIT,51051,Dickenson,14960,4061752,0.003683139689473902
RIC,51053,Dinwiddie,28308,2946507,0.009607307907294976
DCA,51057,Essex,14,3341212,4.1900962884127075e-6
RIC,51057,Essex,11022,2946507,0.003740700429355844
DCA,51059,Fairfax,516548,3341212,0.1545989898276434
IAD,51059,Fairfax,626981,4011427,0.15629874356432263
IAD,51061,Fauquier,69115,4011427,0.01722952954148237
RIC,51063,Floyd,15666,2946507,0.00531680393089173
RIC,51065,Fluvanna,26282,2946507,0.008919714088580138
RIC,51067,Franklin,56233,2946507,0.019084631395750968
IAD,51069,Frederick,85153,4011427,0.02122760803075813
PIT,51071,Giles,16041,4061752,0.003949280999923186
RIC,51071,Giles,773,2946507,2.623445320170629e-4
ORF,51073,Gloucester,29756,1723351,0.017266360712356335
RIC,51073,Gloucester,7405,2946507,0.002513145225855564
RIC,51075,Goochland,22482,2946507,0.007630051447357838
PIT,51077,Grayson,9327,4061752,0.0022962997248477997
RIC,51077,Grayson,6484,2946507,0.002200571727811948
IAD,51079,Greene,19410,4011427,0.004838677109168383
RIC,51081,Greensville,11659,2946507,0.0039568886142133716
RIC,51083,Halifax,34779,2946507,0.011803467631334323
RIC,51085,Hanover,104449,2946507,0.03544841400342846
RIC,51087,Henrico,325642,2946507,0.11051797942445071
RIC,51089,Henry,51588,2946507,0.0175081885093095
IAD,51091,Highland,1230,4011427,3.066240517401912e-4
PIT,51091,Highland,984,4061752,2.422599902702085e-4
ORF,51093,Isle of Wight,36372,1723351,0.021105392923438115
ORF,51095,James City,10631,1723351,0.0061687955616702575
RIC,51095,James City,63522,2946507,0.021558407972558695
RIC,51097,King and Queen,7052,2946507,0.0023933423541841236
DCA,51099,King George,25326,3341212,0.007579884185738588
RIC,51099,King George,564,2946507,1.9141308674983632e-4
RIC,51101,King William,16497,2946507,0.0055988327874327126
ORF,51103,Lancaster,5367,1723351,0.0031142814203258653
RIC,51103,Lancaster,5437,2946507,0.0018452357316646457
PIT,51105,Lee,24134,4061752,0.005941770940224809
IAD,51107,Loudoun,385143,4011427,0.09601146923526216
RIC,51109,Louisa,35380,2946507,0.012007437959590797
RIC,51111,Lunenburg,12278,2946507,0.004166967870770373
IAD,51113,Madison,13139,4011427,0.0032753930209872945
ORF,51115,Mathews,8796,1723351,0.005104009572048875
RIC,51117,Mecklenburg,30847,2946507,0.010469006182574825
ORF,51119,Middlesex,4077,1723351,0.002365739770946255
RIC,51119,Middlesex,6623,2946507,0.0022477462296882377
PIT,51121,Montgomery,977,4061752,0.00024053659603048142
RIC,51121,Montgomery,97020,2946507,0.032927123539838864
RIC,51125,Nelson,14812,2946507,0.005026969221522297
RIC,51127,New Kent,21103,2946507,0.007162039662556376
ORF,51131,Northampton,11957,1723351,0.006938226745451159
ORF,51133,Northumberland,5357,1723351,0.003108478771881062
RIC,51133,Northumberland,6866,2946507,0.0023302167617453478
RIC,51135,Nottoway,15500,2946507,0.005260466036564651
IAD,51137,Orange,32515,4011427,0.008105594343359607
RIC,51137,Orange,3097,2946507,0.0010510750525961757
IAD,51139,Page,23749,4011427,0.005920337077055123
RIC,51141,Patrick,17859,2946507,0.006061075028839232
RIC,51143,Pittsylvania,61676,2946507,0.020931903436849125
RIC,51145,Powhatan,28574,2946507,0.009697584292180537
RIC,51147,Prince Edward,22956,2946507,0.0077909198926050405
RIC,51149,Prince George,37894,2946507,0.012860651612231025
DCA,51153,Prince William,51090,3341212,0.015290858526786088
IAD,51153,Prince William,405659,4011427,0.10112585870314977
PIT,51155,Pulaski,13122,4061752,0.003230625601956988
RIC,51155,Pulaski,21112,2946507,0.007165094126706639
IAD,51157,Rappahannock,7332,4011427,0.0018277784937878714
DCA,51159,Richmond,16,3341212,4.788681472471666e-6
RIC,51159,Richmond,8862,2946507,0.003007629033292641
RIC,51161,Roanoke,93583,2946507,0.03176065761934385
IAD,51163,Rockbridge,558,4011427,1.3910261859433065e-4
RIC,51163,Rockbridge,21951,2946507,0.0074498380624923
IAD,51165,Rockingham,79444,4011427,0.019804423712559145
PIT,51167,Russell,27408,4061752,0.0067478270460628815
PIT,51169,Scott,22009,4061752,0.005418597688879085
IAD,51171,Shenandoah,43045,4011427,0.010730595371671977
PIT,51173,Smyth,31059,4061752,0.007646700241669112
ORF,51175,Southampton,5687,1723351,0.003299966170559567
RIC,51175,Southampton,12252,2946507,0.004158143863225168
