airport,date,size,mu
FAT,2020-01-01,2,5
GEG,2020-01-01,1,5
LAS,2020-01-01,1,7
PDX,2020-01-01,1,6
RNO,2020-01-01,2,8
SEA,2020-01-01,3,6
FAT,2020-01-02,4,6
GEG,2020-01-02,3,4
LAS,2020-01-02,2,7
PDX,2020-01-02,3,6
RNO,2020-01-02,1,3
SEA,2020-01-02,2,0
FAT,2020-01-03,2,7
GEG,2020-01-03,1,7
LAS,2020-01-03,1,8
PDX,2020-01-03,1,8
RNO,2020-01-03,1,8
SEA,2020-01-03,2,5
FAT,2020-01-04,2,5
GEG,2020-01-04,1,9
LAS,2020-01-04,1,5
PDX,2020-01-04,1,8
RNO,2020-01-04,2,6
SEA,2020-01-04,1,6
FAT,2020-01-05,2,5
GEG,2020-01-05,1,5
LAS,2020-01-05,2,7
PDX,2020-01-05,1,6
RNO,2020-01-05,2,6
SEA,2020-01-05,2,5
FAT,2020-01-06,5,7
GEG,2020-01-06,2,7
LAS,2020-01-06,1,4
PDX,2020-01-06,1,3
RNO,2020-01-06,1,5
SEA,2020-01-06,1,3
FAT,2020-01-07,1,4
GEG,2020-01-07,1,0
LAS,2020-01-07,2,8
PDX,2020-01-07,2,7
RNO,2020-01-07,1,9
SEA,2020-01-07,1,3
FAT,2020-01-08,1,6
GEG,2020-01-08,2,6
LAS,2020-01-08,2,4
PDX,2020-01-08,3,6
RNO,2020-01-08,1,0
SEA,2020-01-08,2,4
FAT,2020-01-09,2,4
GEG,2020-01-09,2,7
LAS,2020-01-09,2,5
PDX,2020-01-09,1,4
RNO,2020-01-09,1,7
SEA,2020-01-09,1,4
FAT,2020-01-10,2,5
GEG,2020-01-10,1,8
LAS,2020-01-10,3,7
PDX,2020-01-10,2,6
RNO,2020-01-10,3,9
SEA,2020-01-10,1,6
FAT,2020-01-11,3,5
GEG,2020-01-11,1,8
LAS,2020-01-11,2,1
PDX,2020-01-11,1,6
RNO,2020-01-11,1,4
SEA,2020-01-11,2,4
FAT,2020-01-12,1,8
GEG,2020-01-12,2,6
LAS,2020-01-12,2,8
PDX,2020-01-12,1,5
RNO,2020-01-12,1,7
SEA,2020-01-12,2,6
FAT,2020-01-13,1,5
GEG,2020-01-13,2,6
LAS,2020-01-13,1,5
PDX,2020-01-13,2,5
RNO,2020-01-13,2,3
SEA,2020-01-13,1,6
FAT,2020-01-14,1,6
GEG,2020-01-14,2,3
LAS,2020-01-14,1,1
PDX,2020-01-14,2,4
RNO,2020-01-14,1,6
SEA,2020-01-14,2,6
FAT,2020-01-15,3,3
GEG,2020-01-15,1,5
LAS,2020-01-15,2,7
PDX,2020-01-15,2,7
RNO,2020-01-15,1,1
SEA,2020-01-15,1,3
FAT,2020-01-16,3,7
GEG,2020-01-16,2,5
LAS,2020-01-16,2,3
PDX,2020-01-16,1,5
RNO,2020-01-16,1,7
SEA,2020-01-16,1,3
FAT,2020-01-17,1,3
GEG,2020-01-17,1,9
LAS,2020-01-17,1,3
PDX,2020-01-17,1,0
RNO,2020-01-17,1,10
SEA,2020-01-17,1,3
FAT,2020-01-18,1,4
GEG,2020-01-18,1,3
LAS,2020-01-18,2,0
PDX,2020-01-18,2,5
RNO,2020-01-18,1,3
SEA,2020-01-18,3,4
FAT,2020-01-19,1,6
GEG,2020-01-19,1,6
LAS,2020-01-19,1,3
PDX,2020-01-19,1,0
RNO,2020-01-19,3,4
SEA,2020-01-19,1,3
FAT,2020-01-20,1,6
GEG,2020-01-20,2,4
LAS,2020-01-20,1,5
PDX,2020-01-20,1,5
RNO,2020-01-20,1,5
SEA,2020-01-20,1,8
FAT,2020-01-21,1,3
GEG,2020-01-21,1,6
LAS,2020-01-21,1,3
PDX,2020-01-21,1,9
RNO,2020-01-21,2,3
SEA,2020-01-21,1,10
FAT,2020-01-22,1,7
GEG,2020-01-22,3,1
LAS,2020-01-22,3,7
PDX,2020-01-22,2,9
RNO,2020-01-22,2,8
SEA,2020-01-22,3,1
FAT,2020-01-23,1,5
GEG,2020-01-23,1,6
LAS,2020-01-23,1,8
PDX,2020-01-23,2,8
RNO,2020-01-23,2,10
SEA,2020-01-23,2,3
FAT,2020-01-24,2,7
GEG,2020-01-24,5,7
LAS,2020-01-24,1,5
PDX,2020-01-24,1,5
RNO,2020-01-24,2,6
SEA,2020-01-24,1,4
FAT,2020-01-25,3,5
GEG,2020-01-25,2,9
LAS,2020-01-25,1,6
PDX,2020-01-25,2,6
RNO,2020-01-25,2,5
SEA,2020-01-25,3,7
FAT,2020-01-26,1,7
GEG,2020-01-26,1,10
LAS,2020-01-26,1,9
PDX,2020-01-26,1,4
RNO,2020-01-26,1,6
SEA,2020-01-26,1,10
FAT,2020-01-27,1,5
GEG,2020-01-27,1,5
LAS,2020-01-27,1,3
PDX,2020-01-27,1,5
RNO,2020-01-27,1,4
SEA,2020-01-27,1,8
FAT,2020-01-28,2,7
GEG,2020-01-28,1,8
LAS,2020-01-28,1,1
PDX,2020-01-28,1,10
RNO,2020-01-28,2,7
SEA,2020-01-28,1,7
FAT,2020-01-29,1,7
GEG,2020-01-29,1,7
LAS,2020-01-29,1,3
PDX,2020-01-29,2,7
RNO,2020-01-29,1,6
SEA,2020-01-29,2,6
FAT,2020-01-30,2,5
GEG,2020-01-30,1,8
LAS,2020-01-30,2,6
PDX,2020-01-30,2,6
RNO,2020-01-30,1,5
SEA,2020-01-30,1,4
FAT,2020-01-31,2,3
GEG,2020-01-31,1,3
LAS,2020-01-31,1,4
PDX,2020-01-31,1,1
RNO,2020-01-31,1,5
SEA,2020-01-31,1,3
FAT,2020-02-01,1,5
GEG,2020-02-01,1,3
LAS,2020-02-01,3,7
PDX,2020-02-01,2,6
RNO,2020-02-01,1,8
SEA,2020-02-01,2,6
FAT,2020-02-02,2,3
GEG,2020-02-02,2,4
LAS,2020-02-02,2,0
PDX,2020-02-02,1,4
RNO,2020-02-02,2,3
SEA,2020-02-02,1,8
FAT,2020-02-03,2,10
GEG,2020-02-03,2,10
LAS,2020-02-03,2,3
PDX,2020-02-03,1,10
RNO,2020-02-03,1,8
SEA,2020-02-03,2,7
FAT,2020-02-04,1,8
GEG,2020-02-04,2,8
LAS,2020-02-04,1,8
PDX,2020-02-04,2,7
RNO,2020-02-04,1,7
SEA,2020-02-04,2,5
FAT,2020-02-05,1,10
GEG,2020-02-05,1,9
